"component","action","target","class"
core,viewed,course,course_vis
mod_chat,sent,message,message_sent
mod_chat,viewed,course_module,message_read
mod_folder,downloaded,all_files,resource_vis
mod_folder,viewed,course_module,resource_vis
mod_forum,created,discussion,forum_participation
mod_forum,created,post,forum_participation
mod_forum,created,subscription,forum_followup
mod_forum,updated,post,forum_participation
mod_forum,viewed,course_module,forum_vis
mod_forum,viewed,discussion,forum_vis
mod_page,viewed,course_module,course_vis
mod_quiz,started,attempt,assignment_try
mod_quiz,submitted,attempt,assignment_sub
mod_quiz,viewed,course_module,assignment_vis
mod_resource,viewed,course_module,resource_vis
mod_url,viewed,course_module,resource_vis
